Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
DET NORSKE VERITAS, DANMARK A/S;EUR/DKK;2012;1222,6421399049;0;1222,6421399049;0;16882,7473140526;n.a.;8736,6211756396;n.a.;2767,7864457524;18105,3894539575;8372,7348031868;1339,2947090644;7033,4400941224;1060,721409579;n.a.;n.a.;1060,721409579;8671,7993117208;n.a.;885,0059437497;n.a.;18105,3894539575;43452,6132587678;n.a.;16464,0837879991;19870,1780920916;7118,3513786771;14,5983123288;109,2864482597;7023,6632427462;1809,7889403587;n.a.;n.a.;5213,8743023876;n.a.;n.a.;19479,2379665157;390,9401255759;n.a.;172;0,13393; U;DK;31.12.;DK89832314
DET NORSKE VERITAS, DANMARK A/S;EUR/DKK;2011;1140,6693280462;0;1140,6693280462;0;14824,8003907193;n.a.;8608,1525528675;n.a.;1439,691487981;15965,4697187655;6811,3293354098;1345,1289245828;5466,2004108271;913,3425397917;n.a.;n.a.;913,3425397917;8240,797843564;n.a.;738,4757795959;n.a.;15965,4697187655;38648,10974822;n.a.;16126,6161639305;17372,8781125564;5148,6154717331;41,1609450922;52,3255151663;5137,450901659;1295,4936672657;n.a.;n.a.;3841,9572343933;n.a.;n.a.;17027,1799789387;345,6981336178;n.a.;153;0,13451; U;DK;31.12.;DK89832314
DET NORSKE VERITAS, DANMARK A/S;EUR/DKK;2010;1220,5472771738;0;1220,5472771738;0;13693,4770185908;n.a.;6570,0864569521;n.a.;1279,1825869191;14914,0242957647;5940,1566633937;1332,6206760278;4607,535987366;1156,1816985217;n.a.;n.a.;1156,1816985217;7817,6859338492;n.a.;713,2185858101;n.a.;14914,0242957647;35383,744189889;n.a.;15784,0923351432;15697,7385153366;3901,9133394093;43,8432202413;66,764295869;3878,9922637816;995,7341691279;n.a.;n.a.;2883,2580946537;n.a.;n.a.;15394,1675253375;303,5709899991;n.a.;145;0,13326; U;DK;31.12.;DK89832314
DET NORSKE VERITAS, DANMARK A/S;EUR/DKK;2009;1099,1244977919;0;1099,1244977919;0;16295,0757255994;n.a.;7285,6787409001;n.a.;3691,1216707303;17394,2002233913;6158,6013324196;1337,4598415575;4821,1414908622;1113,1678261283;n.a.;n.a.;1113,1678261283;10122,4310648434;n.a.;628,8736175003;n.a.;17394,2002233913;39364,7867866397;n.a.;17223,6740935927;16697,6511379082;5443,4615551388;90,0110473368;7,2222831444;5526,2503193312;1414,7650203995;n.a.;n.a.;4111,4852989318;n.a.;n.a.;16409,0273041001;288,7575797923;n.a.;155;0,13375; U;DK;31.12.;DK89832314
GEO;EUR/DKK;2013;14749,9257901823;79,5584686574;14670,3673215249;0;21983,987154924;893,7603726448;7096,5082547902;13993,718527489;8145,3674602722;36733,9129451063;19353,8699006715;1339,368159216;18014,5017414555;8907,735816498;5958,8489403521;2948,8868761459;3338,5090736619;8472,3072279369;n.a.;1977,7110238984;n.a.;36733,9129451063;44212,141125273;n.a.;17958,5161524002;22797,6533116477;3455,9716612251;129,918711444;260,7749805994;3325,1153920697;762,1004825939;n.a.;n.a.;2563,0149094758;n.a.;n.a.;17432,1444658283;2312,2851900705;n.a.;221;0,13394; U;DK;31.12.;DK59781812
GEO;EUR/DKK;2012;15221,6200864001;212,5460703285;15009,0740160716;0;19666,2035079011;870,5415608918;7318,4420082113;11477,219938798;6584,2406487022;34887,8235943012;16761,942931295;1339,2947090644;15422,6482222307;8526,7536947292;6343,1676010706;2183,5860936585;2557,6511059002;9599,126968277;n.a.;4402,6634971073;n.a.;34887,8235943012;34091,7468192333;n.a.;13562,6357302821;18314,3194285715;2214,7916603797;71,9201258768;199,8227705924;2086,8890156641;506,5212589681;n.a.;n.a.;1580,367756696;n.a.;n.a.;15749,1682723006;2565,151156271;n.a.;209;0,13393; U;DK;31.12.;DK59781812
GEO;EUR/DKK;2011;14783,2359069497;330,9017154474;14452,3341915023;0;18339,891296439;701,215708385;5540,8550661414;12097,8205219126;7783,3194963134;33123,1272033887;15265,86816509;1345,1289245828;13920,7392405072;8473,2361217319;6743,2658118259;1729,9703099059;2056,4330999022;9384,0229165669;n.a.;1818,4797931435;n.a.;33123,1272033887;33780,6262217247;n.a.;13792,2794282095;17715,6169625401;2272,7298309751;101,1536951286;362,3777322826;2011,5057938211;505,9029885356;n.a.;n.a.;1505,6028052855;n.a.;n.a.;15268,2893971542;2447,3275653859;n.a.;198;0,13451; U;DK;31.12.;DK59781812
GEO;EUR/DKK;2010;14793,2888625165;384,1945408988;14409,0943216177;0;15914,6891613939;425,7723059909;5886,1855260146;9602,7313293884;7230,666526059;30707,9780239104;13678,1518808165;1332,6206760278;12345,5312047888;8344,2043629478;7016,5143834214;1327,6899795265;1541,3090738937;8685,6217801461;n.a.;2600,7425113358;n.a.;30707,9780239104;38970,759263553;n.a.;19479,849255971;16194,4062412921;3296,5037662899;119,4028125721;383,9280167636;3031,9785620984;760,3933577414;n.a.;n.a.;2271,5852043569;n.a.;n.a.;14089,2653593711;2105,1408819211;n.a.;184;0,13326; U;DK;31.12.;DK59781812
GEO;EUR/DKK;2009;15269,377773109;499,0062668851;14770,3715062239;0;7785,4874836901;450,1889826682;2064,7705033964;5270,5279976255;2337,3448191058;23054,865256799;11454,006083098;1337,4598415575;10116,5462415406;6020,5754767709;5312,7917286187;707,7837481522;n.a.;5580,2836969302;n.a.;1065,4205097847;n.a.;23054,865256799;25743,8282682503;n.a.;10051,2782012726;14471,4492316358;1221,100835342;43,8686828031;147,6555665079;1117,3139516371;176,2772071173;n.a.;n.a.;941,0367445198;n.a.;n.a.;13314,9477066411;1156,5015249947;n.a.;194;0,13375; U;DK;31.12.;DK59781812
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2013;1786,5831875783;1198,7345024983;151,0807283596;436,7679567203;24183,8993564363;124,695175623;5208,1330871115;18851,0710937018;14161,8092314706;25970,4825440145;10606,7243264635;6643,2660697115;3963,458256752;1413,5691552366;n.a.;n.a.;1413,5691552366;13950,1890623144;n.a.;1366,691269664;n.a.;25970,4825440145;43825,0637272596;n.a.;30021,5354783793;13203,4913135515;600,0369353288;296,0003631867;371,4067905506;524,6305079649;71,790133334;n.a.;n.a.;452,8403746309;n.a.;n.a.;12897,1778155388;306,3134980127;n.a.;140;0,13394; U;DK;31.12.;DK26159946
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2012;1472,5545326163;908,1757422165;130,7151636047;433,663626795;30109,3540018305;115,0454155086;4961,1493907871;25033,1591955347;18093,201872105;31581,9085344467;10153,3271188878;6642,9017569592;3510,4253619286;1287,8657922363;n.a.;n.a.;1287,8657922363;20140,4477643808;n.a.;3083,1903497371;n.a.;31581,9085344467;42358,4094814622;n.a.;29285,4198968141;12787,4519526756;285,5376319725;312,055667212;195,2691685816;402,3241306029;110,8936019105;n.a.;n.a.;291,4305286924;n.a.;n.a.;12512,6286783756;274,8232743;n.a.;138;0,13393; U;DK;31.12.;DK26159946
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2011;1172,6833964513;602,6177582131;138,4137663396;431,6518718986;20279,8362314723;135,5889955979;3019,2763841185;17124,9708517558;7813,9884357938;21452,5196279236;9910,1028389712;6671,8394659306;3238,2633730406;1232,5416335952;n.a.;n.a.;1232,5416335952;10309,8751553572;n.a.;3196,9679150559;n.a.;21452,5196279236;25737,5623300745;n.a.;12895,0784355128;12692,2329936857;150,2509008759;145,4084367474;266,3355270674;29,3238105559;11,8371345363;n.a.;n.a.;17,4866760196;n.a.;n.a.;12301,7420668794;390,4909268064;n.a.;135;0,13451; U;DK;31.12.;DK26159946
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2010;1455,4883023575;759,193999133;288,7789004952;407,5154027293;13603,2585988238;123,800460803;4478,1385197237;9001,3196182971;1461,0853091968;15058,7469011813;9808,4879617671;6609,7985530977;3198,6894086694;1746,1328717992;n.a.;n.a.;1746,1328717992;3504,2593296826;n.a.;1283,0471868795;n.a.;15058,7469011813;30029,5408377447;n.a.;17090,9934321236;12867,785247724;70,7621578971;89,1523232263;145,1223916194;14,9253515715;10,6609654082;n.a.;n.a.;4,2643861633;n.a.;n.a.;12420,8242729843;446,8277126721;n.a.;141;0,13326; U;DK;31.12.;DK26159946
BURMEISTER & WAIN ENERGY A/S;EUR/DKK;2009;1783,3689527327;830,428815623;554,1096123573;398,8305247524;16349,2428491824;129,3323666786;3833,0261599195;12386,8843225843;3837,5735233808;18132,6118019152;9830,1960894631;6633,800814125;3196,3952753382;1497,0188006553;n.a.;n.a.;1497,0188006553;6805,3969117968;n.a.;4261,6820391387;n.a.;18132,6118019152;40376,1739188254;n.a.;27332,9980519889;13149,3701782562;-106,1943114197;267,4919683115;145,7831227298;15,5145341621;9,3622188909;n.a.;n.a.;6,1523152712;n.a.;n.a.;12533,3361752349;616,0340030214;n.a.;139;0,13375; U;DK;31.12.;DK26159946
RIIS RETAIL A/S;EUR/DKK;2013;764,8664239213;0;424,569645826;340,2967780952;26449,9276745085;7134,6131015013;5600,3394018317;13714,9751711755;47,1447263217;27214,7940984298;6183,4381982068;66,7772327502;6116,6609654566;3155,3578019144;123,1372171914;3032,220584723;352,0495710593;17876,2652072396;n.a.;3020,0671283624;n.a.;27214,7940984298;36599,2657257522;n.a.;27921,6978843238;9676,2881344409;-998,7202930126;40,3334485811;423,501210102;-1381,8880545335;-343,2349763362;n.a.;n.a.;-1038,6530781973;n.a.;n.a.;9457,5259199512;218,7622144898;n.a.;141;0,13355; D;DK;30.06.;DK19729001
RIIS RETAIL A/S;EUR/DKK;2012;530,8481300095;0;530,8481300095;0;19465,2834453798;5136,1507236781;7338,5112752204;6990,6214464813;283,7198951318;19996,1315753893;7813,1266332218;67,2640813494;7745,8625518724;1133,3997707375;139,5057047187;993,8940660189;627,0357663392;11049,7396995926;n.a.;3448,8985071095;n.a.;19996,1315753893;46663,5147390129;n.a.;36139,3765710845;9339,8867516907;1184,2514162377;217,532039084;361,8807576598;1039,9026976619;263,1370862389;n.a.;n.a.;776,765611423;n.a.;n.a.;9130,8299868567;209,056764834;n.a.;150;0,13453; D;DK;30.06.;DK19729001
RIIS RETAIL A/S;EUR/DKK;2011;541,5109607512;0;541,5109607512;0;24011,7677763338;5749,7497060596;5599,9928991373;12662,025171137;2327,330717425;24553,278737085;9961,9783183102;67,0352761514;9894,9430421587;2008,2428029442;154,7174173575;1853,5253855868;932,9969734755;12582,9235452783;n.a.;5240,2816073088;n.a.;24553,278737085;58324,3101566471;n.a.;45248,1410494466;9891,5912783512;3184,5778288493;802,1441144279;69,7166871975;3917,0052560797;896,5297832491;n.a.;n.a.;3020,4754728307;n.a.;n.a.;9682,8434284156;208,7478499355;n.a.;137;0,13407; D;DK;30.06.;DK19729001
RIIS RETAIL A/S;EUR/DKK;2010;2540,2960848697;0;752,7449607792;1787,5511240905;17628,8922837174;2079,412644464;7611,2221876971;7938,2574515563;2594,9362131089;20169,1883685871;7808,168301031;67,1254646673;7741,0428363637;1258,4682115828;169,8274256083;1088,6407859745;736,6348492591;11102,5518559733;n.a.;3723,0467723078;n.a.;20169,1883685871;45931,9417079013;n.a.;37449,5652397518;6575,0735150925;1907,302953057;1625,644503313;205,9409255993;3327,0065307706;598,3563920444;n.a.;n.a.;2728,6501387262;n.a.;n.a.;6378,5301545466;196,5433605459;n.a.;102;0,13425; D;DK;30.06.;DK19729001
RIIS RETAIL A/S;EUR/DKK;2009;1814,2727175619;0;773,5937477518;1040,6789698101;12557,1681526223;2565,8443555009;4196,0176062744;5795,3061908471;1352,7483795958;14371,4408701842;6080,9222126259;67,1405786974;6013,7816339285;1197,1165181751;198,3332694722;998,7832487029;510,80552273;7093,2678582257;n.a.;2802,582035988;n.a.;14371,4408701842;41356,8508225687;n.a.;34053,2986718626;5442,5495903708;1861,0025603353;15,1737707856;665,3631348915;1210,8131962294;393,7123534817;n.a.;n.a.;817,1008427477;n.a.;n.a.;5279,9351087656;162,6144816052;n.a.;96;0,13428; D;DK;30.06.;DK19729001
