Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
RAPID HOLDING AG;EUR/CHF;2013;68323,9333323195;0;68323,9333323195;0;18207,0903687432;10097,9818196181;4087,4718746667;4021,6366744584;2054,7084707014;86531,0237010628;31974,7750147921;2743,1333420164;29231,6416727757;47013,6479710376;45434,4159462856;1579,2320247519;1341,9001919019;7542,6007152331;894,058274435;3611,9954287172;3036,5470120809;86531,0237010628;47249,3542433886;46983,5751018066;22639,9938494416;18024,2148126088;6585,1455813382;53,6434964661;348,6827270296;6290,1063507747;811,9674692368;n.a.;n.a.;5478,1388815378;9497,1177645804;22639,9938494416;10167,0681408245;3904,5963185323;n.a.;129;0,81278; A;CH;31.12.;CH02039211728
RAPID HOLDING AG;EUR/CHF;2012;51537,0898022565;0;51537,0898022565;0;18584,1784989766;11463,0685887125;4034,3584826032;3086,751427661;1805,9108272198;70121,2683012331;27036,5688267425;2790,7275832724;24245,8412434702;36525,8694921154;34315,6132461637;2210,2562459517;1204,7674337268;6558,8299823752;296,0238443886;4004,590721715;2258,2154162716;70121,2683012331;35579,08931942;35449,2688066574;19783,984639222;17918,5382902257;-2123,4336100277;683,8316181826;1167,5577326165;-2607,1597244616;-191,8366812798;n.a.;n.a.;-2415,3230431818;n.a.;19783,984639222;10533,6529432019;2311,135880073;n.a.;132;0,82688; A;CH;31.12.;CH02039211728
RAPID HOLDING AG;EUR/CHF;2011;36886,7048434591;0;36886,7048434591;0;23717,1647104023;12442,5992599977;5427,0037833909;5847,5616670137;4829,0230426147;60603,8695538614;29912,1794726748;3696,3095240289;26215,8699486459;21574,126588582;18769,0383609023;2805,0882276797;1067,0013492697;9117,5634926046;246,4206349353;3888,5176192784;4982,625238391;60603,8695538614;54711,9521725594;54642,132992661;26516,5031232669;19457,3733344881;8738,0757148043;241,4922222366;685,04936512;8294,5185719209;938,8626191033;n.a.;n.a.;7355,6559528175;n.a.;26516,5031232669;12534,5962970402;2129,8956879571;n.a.;156;0,8214; A;CH;31.12.;CH02039211728
RAPID HOLDING AG;EUR/CHF;2010;34429,483563161;0;34429,483563161;0;21266,275642533;12220,2505160853;4773,6721264567;4272,352999991;2473,1743572308;55695,759205694;22572,0926052794;4476,063629158;18096,0289761214;26207,0541444783;22961,2117367742;3245,8424077041;995,4765511247;6916,6124559363;318,2978580735;2590,944564718;4007,3700331449;55695,759205694;46829,5723690578;46787,397902863;23077,390454971;18967,3693625975;4784,8125514893;38,991487614;814,8425166681;4008,9615224352;19,8936161296;n.a.;n.a.;3989,0679063056;n.a.;23159,3521534249;11433,2590619987;2600,4935004602;n.a.;157;0,79574; A;CH;31.12.;CH02039211728
RAPID HOLDING AG;EUR/CHF;2009;31888,0200234482;0;31888,0200234482;0;16409,8112717045;8965,0744310626;3491,9938275324;3952,7430131096;2561,0649174919;48297,8312951527;16239,3879618346;4395,304730835;11844,0832309996;26197,3634156176;22754,543112277;3442,8203033407;1019,8454195378;5861,0799177005;269,4439681738;2557,0232579693;3034,6126915574;48297,8312951527;37305,1910035823;32990,7194631994;19447,1184029436;15412,8685894615;2445,2040111772;57,9304531574;939,0122290857;1564,1222352489;-292,3467054686;n.a.;289,6522657868;1566,8166749306;n.a.;19447,1184029436;9122,0255425238;1820,7676149344;n.a.;144;0,67361; A;CH;31.12.;CH02039211728
WELINVEST AG;EUR/CHF;2013;95546,2155201763;0;69118,5164006739;26427,6991195024;29058,453410802;0;1017,7507099129;28040,7027008891;21077,9025529615;124604,668930978;82933,7973648452;1625,9297226821;81307,8676421631;38209,348483029;38209,348483029;0;0;3461,523083104;260,1487556291;1602,3537417032;1599,0205857717;124604,668930978;11897,9033386984;11524,9150603152;1023,6853534007;2764,8934934209;8109,3244918769;1905,8335244418;5347,0324860123;4668,1255303064;873,2868540525;41,8676903591;0;3836,7063666129;n.a.;n.a.;1499,2697972852;930,1130978603;n.a.;20;0,81296; D;CH;30.06.;CH27030025063
WELINVEST AG;EUR/CHF;2012;113006,16200387;0;71405,6635011344;41600,4985027351;31370,2830457113;0;1021,8243875232;30348,4586581881;21474,1911110581;144376,445049581;107620,612917241;1662,7196933092;105957,893223932;33254,3938661847;33254,3938661847;0;0;3501,4382661553;262,2108956349;1672,0309235918;1567,1964469286;144376,445049581;10386,2617002408;10029,5251900413;957,3108634228;2781,2312309984;6647,7196058197;3718,0906421935;6465,6517994023;3900,1584486108;985,826506163;-23,5274836603;0;2890,8044587874;n.a.;n.a.;1463,5258740508;969,7812611226;n.a.;22;0,83136; D;CH;30.06.;CH27030025063
WELINVEST AG;EUR/CHF;2011;120963,38391774;0;71859,0336978016;49104,3502199388;31231,7591594726;0;879,9640725153;30351,7950869573;14284,573211075;152195,143077213;109435,04193606;1658,4321004812;107776,609835579;33212,4246170774;33168,6420096247;43,7826074527;43,7826074527;9547,6765240755;286,7429101732;5202,7502640247;4058,1833498776;152195,143077213;15926,4209905514;15521,597714824;914,8740682305;2820,6613164985;12190,8856058225;3642,1656574719;5528,1346421391;10304,9166211552;1086,0242610001;1437,9435527223;0;10656,8359128773;n.a.;n.a.;1463,6492502797;977,9774096538;n.a.;20;0,82922; D;CH;30.06.;CH27030025063
WELINVEST AG;EUR/CHF;2010;104889,372257774;0;66086,7360776225;38802,6361801517;42534,9431251775;0;1047,3041116591;41487,6390135184;35051,1091884563;147424,315382952;109252,925833613;1507,4546407471;107745,471192866;34808,0321276358;30149,0928149427;4658,9393126931;4658,9393126931;3363,357421703;297,7222915476;1420,2483897799;1645,3867403755;147424,315382952;13977,5716653997;13762,0056517728;732,5475826711;2589,2794636793;10655,7446190493;3571,4615348581;3616,7605468126;10610,4456070948;948,7919508862;489,6212673147;0;10151,2749235233;n.a.;n.a.;1301,0841004289;897,839984029;n.a.;20;0,75373; D;CH;30.06.;CH27030025063
WELINVEST AG;EUR/CHF;2009;98750,0392505594;0;58087,6650989267;40662,3741516327;23953,0457122722;0;990,0480454107;22962,9976668615;16836,1216533524;122703,084962832;88697,6820075851;1309,8472519821;87387,834755603;31231,6049220865;26196,9450396428;5034,6598824438;5034,6598824438;2773,79803316;222,4775557492;1164,3232222869;1386,9972551239;122703,084962832;6889,2071141627;6707,2038384997;830,5741424819;2271,1441502118;3787,488821469;2376,979808172;24098,7662190552;-17934,2975894142;938,8330178582;344,1623654583;0;-18528,9682418141;n.a.;n.a.;1195,9560334223;791,2132325598;n.a.;21;0,65492; D;CH;30.06.;CH27030025063
