Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
MIS TRAINING (UK) LIMITED;EUR/GBP;2013;14,1830642571;14,1830642571;0;0;6098,4544939325;0;703,7170493335;5394,7374445991;n.a.;6112,6375581897;4767,8048594344;0,0011960756;4767,8036633588;0;n.a.;n.a.;n.a.;1344,8326987553;0;0;1344,8326987553;6112,6375581897;3773,5263649232;n.a.;2168,8976771229;954,1561390967;650,4725487036;n.a.;n.a.;650,4725487036;142,2827591414;n.a.;n.a.;508,1897895622;3282,7980827897;n.a.;754,0299687108;29,581341306;n.a.;15;1,19608;D ;GB;30.09.;GB03335606
MIS TRAINING (UK) LIMITED;EUR/GBP;2012;45,8181507025;45,8181507025;0;0;5649,2715442619;0;593,314372595;5055,957171667;n.a.;5695,0896949644;4459,507279822;0,0012522042;4459,5060276178;40,9007449138;0;40,9007449138;0;1194,6816702287;0;0;1194,6816702287;5695,0896949644;3578,8170582623;n.a.;1890,312393623;953,4107267222;735,0939379171;n.a.;n.a.;735,0939379171;186,6172401569;n.a.;n.a.;548,4766977602;3051,0918880627;n.a.;774,3780872431;30,969513615;n.a.;14;1,2522;D ;GB;30.09.;GB03335606
MIS TRAINING (UK) LIMITED;EUR/GBP;2011;70,8225290246;70,8225290246;0;0;4640,0617627395;0;392,0774566767;4247,9843060629;n.a.;4710,8842917641;3607,2079985241;0,0011549286;3607,2068435955;0;n.a.;n.a.;n.a.;1103,67629324;0;0;1103,67629324;4710,8842917641;3499,1344037945;n.a.;1967,9878682225;1008,1660113628;522,9805242093;n.a.;n.a.;522,9805242093;147,2464615548;n.a.;n.a.;375,7340626545;3076,9029174009;n.a.;843,7353677958;28,5636930928;n.a.;8;1,15493;D ;GB;30.09.;GB03335606
I.D.C. (HOLDINGS) LIMITED;EUR/GBP;2013;43,8983756233;0;42,6029866922;1,2953889311;6452,6584684319;5108,9303328998;766,2390395302;577,4890960019;321,6862885195;6496,5568440552;6275,8284583226;1059,8636709226;5215,9647874;5,222772645;0;5,222772645;5,222772645;215,5056130876;2,4612389691;123,4576308943;89,5867432242;6496,5568440552;3718,7071557507;n.a.;2694,0933728967;1333,3544254463;-308,7406425923;n.a.;0,6606483549;-309,4012909472;-73,9219581679;n.a.;n.a.;-235,4793327793;n.a.;n.a.;1064,2503288939;9,9144358283;n.a.;17;1,17763;+ ;GB;31.10.;GB00499824
I.D.C. (HOLDINGS) LIMITED;EUR/GBP;2012;56,6795028254;0;55,3151065302;1,3643962953;7015,705904434;5858,9893307213;837,2704691048;319,4461046079;144,6222862162;7072,3854072594;6858,1751889045;1116,3242415718;5741,8509473327;7,698916186;0;7,698916186;7,698916186;206,5113021689;2,592352961;28,3682796989;175,550669509;7072,3854072594;5583,820366615;n.a.;3830,455773708;1406,330395209;347,034197698;0,0086825219;9,0323034746;338,0105767453;79,1349851248;n.a.;n.a.;258,8755916205;n.a.;n.a.;1079,0687805498;12,8352480575;n.a.;17;1,24036;+ ;GB;31.10.;GB00499824
I.D.C. (HOLDINGS) LIMITED;EUR/GBP;2011;63,342923955;0;62,0839853443;1,2589386107;6387,2605208141;5042,9715947046;1252,1689544921;92,1199716174;13,6068374029;6450,6034447692;6089,2228275744;1030,0406815219;5059,1821460524;10,8886744933;0;10,8886744933;10,8886744933;350,4919427015;54,6882932509;74,4845306601;221,3191187904;6450,6034447692;5711,7094843276;n.a.;3878,1237667437;1345,471183914;488,11453367;0,2632326186;22,7959447717;465,5818215168;123,7548099263;n.a.;n.a.;341,8270115906;n.a.;n.a.;953,5338376571;17,0826524582;n.a.;17;1,14449;+ ;GB;31.10.;GB00499824
EMAK UK LIMITED;EUR/GBP;2013;77,7581957776;0;77,7581957776;0;3655,6370616513;1245,944988816;1987,4026654614;422,289407374;328,360544696;3733,3952574289;511,2161342045;408,4938295642;102,7223046404;314,961412124;314,961412124;0;0;2907,2177111003;2543,3717352805;130,5092946546;233,3366811652;3733,3952574289;3670,742580503;n.a.;2786,0069678528;791,5494877372;93,1861249131;n.a.;54,2640389865;38,9220859266;11,7739459192;n.a.;n.a.;27,1481400074;n.a.;n.a.;421,1908241848;26,1200094358;n.a.;12;1,19411;D ;GB;31.12.;GB01306606
EMAK UK LIMITED;EUR/GBP;2012;66,1434836447;0;66,1434836447;0;3453,2414406155;1111,3753337806;1675,3363181183;666,5297887166;563,3462412704;3519,3849242602;484,8325483943;409,1390192393;75,693529155;311,7261630376;311,7261630376;0;0;2722,8262128283;2314,3210726273;183,9552848963;224,5498553047;3519,3849242602;3719,6823283616;n.a.;2771,7592825852;773,8526858823;174,0703598941;n.a.;54,9668806022;119,1034792918;35,4505822131;n.a.;n.a.;83,6528970788;n.a.;n.a.;380,2855630168;26,108640387;n.a.;12;1,196;D ;GB;31.12.;GB01306606
EMAK UK LIMITED;EUR/GBP;2011;73,4549853944;0;73,4549853944;0;3349,0062766544;1227,2621362884;1592,6718015652;529,0723388007;389,2673302417;3422,4612620488;400,8197646242;408,7683365638;-7,9485719396;324,4886197801;324,4886197801;0;0;2697,1528776445;2308,2129540041;166,3691550999;222,5707685406;3422,4612620488;3543,4583147556;n.a.;2701,3219346946;736,8679882744;105,2683917865;n.a.;48,6318294303;56,6365623563;23,2327246275;n.a.;n.a.;33,4038377288;n.a.;n.a.;378,2538023452;22,433326758;n.a.;11;1,19491;D ;GB;31.12.;GB01306606
BASF BUSINESS SERVICES LIMITED;EUR/GBP;2013;137,322898652;1,1941121622;136,1287864899;0;2619,8820838486;0;0;2619,8820838486;n.a.;2757,2049825007;1970,2850676163;1838,9327297753;131,3523378411;0;n.a.;n.a.;n.a.;786,9199148843;175,5344878422;17,9116824329;593,4737446093;2757,2049825007;3646,8185433335;n.a.;3197,8323703494;302,1103770345;146,8757959496;5,970560811;n.a.;152,8463567605;25,076355406;n.a.;n.a.;127,7700013545;211,3578527079;n.a.;2314,1893703276;103,8877581107;n.a.;28;1,19411;D ;GB;31.12.;GB03535585
