Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
RAPID HOLDING AG;EUR/CHF;2013;68323,9333323195;0;68323,9333323195;0;18207,0903687432;10097,9818196181;4087,4718746667;4021,6366744583;2054,7084707014;86531,0237010628;31974,7750147921;2743,1333420164;29231,6416727757;47013,6479710376;45434,4159462856;1579,2320247519;1341,9001919019;7542,6007152331;894,058274435;3611,9954287172;3036,5470120809;86531,0237010628;47249,3542433886;46983,5751018066;22639,9938494416;18024,2148126088;6585,1455813382;53,6434964661;348,6827270296;6290,1063507747;811,9674692368;n.a.;n.a.;5478,1388815378;9497,1177645804;22639,9938494416;10167,0681408245;3904,5963185323;n.a.;129;0,81278; A;CH;31.12.;CH02039211728
RAPID HOLDING AG;EUR/CHF;2012;51537,0898022565;0;51537,0898022565;0;18584,1784989766;11463,0685887125;4034,3584826032;3086,7514276609;1805,9108272198;70121,2683012331;27036,5688267425;2790,7275832724;24245,8412434702;36525,8694921154;34315,6132461637;2210,2562459517;1204,7674337268;6558,8299823752;296,0238443886;4004,590721715;2258,2154162716;70121,2683012331;35579,08931942;35449,2688066574;19783,984639222;17918,5382902257;-2123,4336100277;683,8316181826;1167,5577326165;-2607,1597244616;-191,8366812798;n.a.;n.a.;-2415,3230431818;n.a.;19783,984639222;10533,6529432019;2311,135880073;n.a.;132;0,82688; A;CH;31.12.;CH02039211728
RAPID HOLDING AG;EUR/CHF;2011;36886,7048434591;0;36886,7048434591;0;23717,1647104023;12442,5992599977;5427,0037833909;5847,5616670137;4829,0230426147;60603,8695538614;29912,1794726748;3696,3095240289;26215,8699486459;21574,126588582;18769,0383609023;2805,0882276797;1067,0013492697;9117,5634926046;246,4206349353;3888,5176192784;4982,625238391;60603,8695538614;54711,9521725594;54642,132992661;26516,5031232669;19457,3733344881;8738,0757148043;241,4922222366;685,04936512;8294,5185719209;938,8626191033;n.a.;n.a.;7355,6559528175;n.a.;26516,5031232669;12534,5962970402;2129,8956879571;n.a.;156;0,8214; A;CH;31.12.;CH02039211728
WELINVEST AG;EUR/CHF;2013;95546,2155201763;0;69118,5164006739;26427,6991195024;29058,453410802;0;1017,7507099129;28040,7027008891;21077,9025529615;124604,668930978;82933,7973648452;1625,9297226821;81307,8676421631;38209,348483029;38209,348483029;0;0;3461,523083104;260,1487556291;1602,3537417032;1599,0205857717;124604,668930978;11897,9033386984;11524,9150603152;1023,6853534006;2764,8934934209;8109,3244918769;1905,8335244418;5347,0324860123;4668,1255303064;873,2868540525;41,8676903591;0;3836,7063666129;n.a.;n.a.;1499,2697972852;930,1130978603;n.a.;20;0,81296; D;CH;30.06.;CH27030025063
WELINVEST AG;EUR/CHF;2012;113006,16200387;0;71405,6635011344;41600,4985027351;31370,2830457113;0;1021,8243875232;30348,4586581881;21474,1911110581;144376,445049581;107620,612917241;1662,7196933092;105957,893223932;33254,3938661847;33254,3938661847;0;0;3501,4382661553;262,2108956349;1672,0309235918;1567,1964469286;144376,445049581;10386,2617002408;10029,5251900413;957,3108634228;2781,2312309984;6647,7196058197;3718,0906421935;6465,6517994023;3900,1584486108;985,826506163;-23,5274836603;0;2890,8044587874;n.a.;n.a.;1463,5258740508;969,7812611226;n.a.;22;0,83136; D;CH;30.06.;CH27030025063
WELINVEST AG;EUR/CHF;2011;120963,38391774;0;71859,0336978016;49104,3502199388;31231,7591594726;0;879,9640725153;30351,7950869573;14284,573211075;152195,143077213;109435,04193606;1658,4321004812;107776,609835579;33212,4246170774;33168,6420096247;43,7826074527;43,7826074527;9547,6765240755;286,7429101732;5202,7502640247;4058,1833498776;152195,143077213;15926,4209905514;15521,597714824;914,8740682305;2820,6613164985;12190,8856058225;3642,1656574719;5528,1346421391;10304,9166211552;1086,0242610001;1437,9435527223;0;10656,8359128773;n.a.;n.a.;1463,6492502797;977,9774096538;n.a.;20;0,82922; D;CH;30.06.;CH27030025063
ENERGOAQUA, A.S.;EUR/CZK;2013;57957,5052975212;115,7798794044;44582,9066316361;13258,8187864807;16118,3667931983;179,6282737123;3315,0144633734;12623,7240561126;11069,3144885225;74075,8720907195;66013,0079362293;25622,265883605;40390,7420526243;3713,5567237341;0;3713,5567237341;n.a.;4349,3074307561;329,8833705912;2074,3075089129;1945,1165512521;74075,8720907195;27656,8503618126;27656,8503618126;0;0;8540,6702605243;0;115,2332321928;8425,4370283315;1674,0159774752;n.a.;n.a.;6751,4210508563;0;12042,8931722767;3989,2491340879;2463,0830057607;n.a.;n.a.;0,03644;B+;CZ;31.12.;CZ15503461
ENERGOAQUA, A.S.;EUR/CZK;2012;60684,5776444577;n.a.;47022,6015431868;n.a.;14959,6088705541;301,8555384407;3331,9457899119;11325,8075422015;9526,0500770063;75644,1865150118;67460,3176593975;27965,0919342753;39495,2257251222;3406,3257947721;n.a.;n.a.;n.a.;4777,5430608422;430,2107660792;2215,60931055;n.a.;75644,1865150118;29939,8214002085;29939,8214002085;0;0;3460,818097798;n.a.;n.a.;3243,2864151347;1613,8074530446;n.a.;n.a.;1629,47896209;0;14128,0245060554;4392,8751319635;7074,294194876;n.a.;150;0,03978;B+;CZ;31.12.;CZ15503461
ENERGOAQUA, A.S.;EUR/CZK;2011;59307,9552856712;n.a.;46693,5222182944;n.a.;17493,3559532119;255,0351339296;3552,8177076788;13685,5031116035;9014,1354145515;76801,3112388831;68749,7202796521;27250,5815786599;41499,1387009922;3670,1416211142;174,4161250279;3495,7254960864;n.a.;4381,4493381168;178,9121851397;1824,2376312359;n.a.;76801,3112388831;25991,4134333754;25991,4134333754;0;0;7183,3087297034;n.a.;n.a.;6875,0960572097;1486,7230497376;n.a.;n.a.;5388,3730074721;0;11909,5206082919;3551,4223786786;2576,8625903006;n.a.;150;0,03876;B+;CZ;31.12.;CZ15503461
TOMA, A.S.;EUR/CZK;2013;108513,26157819;3,3527695641;51338,4093150053;57171,4994936204;27158,1258891501;7911,7708652203;11427,477741524;7818,8772824058;5711,9895996851;135671,38746734;111486,694420645;53836,2226402725;57650,4717803724;18071,8288252132;13805,8668726434;4265,9619525698;n.a.;6112,8642214817;1212,4270720501;4714,4677680654;185,9693813662;135671,38746734;20067,0547041898;20067,0547041898;0;0;1351,9678835828;2659,6208998834;-1252,1501027554;5263,7388862216;392,8206862132;n.a.;n.a.;4870,9182000084;0;10925,3640561501;3862,6091967476;2144,3876814324;n.a.;n.a.;0,03644;B-;CZ;31.12.;CZ18152813
