Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
CLARKSON RESEARCH SERVICES LIMITED;EUR/GBP;2012;450,8913158912;0;1,1959981854;449,6953177058;6731,0777873621;0;538,1991834245;6192,8786039376;2572,592096769;7181,9691032532;2571,3960985836;26,3119600785;2545,0841385051;0;n.a.;n.a.;n.a.;4610,5730046697;271,491588083;199,7316969597;4139,3497196269;7181,9691032532;8819,290619049;n.a.;1087,1623505174;5364,0518614639;2368,0764070677;55,0159165278;n.a.;2423,0923235955;502,3192378628;n.a.;n.a.;1920,7730857327;n.a.;n.a.;4236,2255726433;1,1959981854;n.a.;66;1,196;D ;GB;31.12.;GB01944749
CLARKSON RESEARCH SERVICES LIMITED;EUR/GBP;2011;454,0675491661;0;4,7796584123;449,2878907538;6252,9881178586;0;493,4997310674;5759,4883867913;4011,3283225017;6707,0556670248;2442,4054486725;26,2881212675;2416,117327405;0;n.a.;n.a.;n.a.;4264,6502183523;240,1778352168;192,3812510941;3832,0911320414;6707,0556670248;7974,8600608807;n.a.;1143,5332751368;5182,3446335091;1648,9821522348;1247,4908456038;n.a.;2896,4729978386;424,1946840894;n.a.;n.a.;2472,2783137492;n.a.;n.a.;4301,6925710474;17,923719046;n.a.;64;1,19491;D ;GB;31.12.;GB01944749
MI TECHNOLOGY GROUP LIMITED;EUR/GBP;2013;3274,1149065257;0;3274,1137191021;0,0011874235;3181,8758482134;194,0012531804;2447,9721234877;539,9024715453;2,8569409668;6455,9907547391;2412,0133773127;0,0011874235;2412,0121898892;632,9881628207;632,9881628207;0;0;3410,9892146056;1947,7307846237;497,1659119712;966,0925180107;6455,9907547391;9610,6722297101;n.a.;3308,5537506069;5302,5251815848;999,5932975185;11,0750990844;52,6669823942;958,0014142087;-92,4504196971;n.a.;n.a.;1050,4518339059;2151,869072315;n.a.;3776,5921638603;336,926671471;n.a.;106;1,18742;D ;GB;30.04.;GB02888007
MI TECHNOLOGY GROUP LIMITED;EUR/GBP;2012;3364,8257116972;0;3364,8244811085;0,0012305887;3024,7636041633;203,2046482167;2142,8917578809;678,6671980658;2,6851445086;6389,5893158605;1411,0569757216;0,0012305887;1411,0557451329;741,1934091014;741,1934091014;0;0;4237,3389310376;2675,8031098553;675,398754521;886,1370666613;6389,5893158605;9213,7214327455;n.a.;3262,2192272227;5039,4243294022;912,0778761207;n.a.;80,0301044773;832,0477716434;-88,9641783233;n.a.;n.a.;921,0119499667;2646,7181463082;n.a.;3727,0901002683;352,4701332349;n.a.;96;1,23059;D ;GB;30.04.;GB02888007
MI TECHNOLOGY GROUP LIMITED;EUR/GBP;2011;3038,6220119714;0;3015,812730182;22,8092817894;2621,072392194;113,0713180348;1890,0915669871;617,9095071721;0,9593997942;5659,6944041654;446,3226472502;0,0011207942;446,321526456;853,7503750399;853,7503750399;0;0;4359,6213818754;2922,746466968;574,2220719173;862,6528429901;5659,6944041654;7419,532878766;n.a.;2753,406799321;4194,6606569807;471,4654224643;-593,9144251697;92,3287806619;-214,7777833674;-95,9433418024;n.a.;n.a.;-118,8344415649;1463,2684963952;n.a.;3001,9092787252;346,4430763856;n.a.;82;1,12079;D ;GB;30.04.;GB02888007
MI TECHNOLOGY INVESTMENTS LIMITED;EUR/GBP;2013;3274,1149065257;0;3274,1137191021;0,0011874235;3181,8758482134;194,0012531804;2447,9721234877;539,9024715453;2,8569409668;6455,9907547391;4625,6700320077;106,8681159642;4518,8019160435;205,5156989638;205,5156989638;0;0;1624,8050237675;161,5465937856;497,1659119712;966,0925180107;6455,9907547391;9610,6722297101;n.a.;3308,5537506069;5374,9508911972;927,167587906;11,0750990844;52,6669823942;885,5757045962;-92,4504196971;n.a.;n.a.;978,0261242934;2151,869072315;n.a.;3776,5921638603;336,926671471;n.a.;103;1,18742;D ;GB;30.04.;GB06201922
MI TECHNOLOGY INVESTMENTS LIMITED;EUR/GBP;2012;3364,8257116972;0;3364,8244811085;0,0012305887;3047,4815018592;203,2046482167;2165,6096555768;678,6671980658;2,6851445086;6412,3072135564;3903,3017857007;110,7529815628;3792,548804138;298,1814828502;298,1814828502;0;0;2210,8239450055;629,881740276;675,398754521;905,5434502085;6412,3072135564;9459,8391695517;n.a.;3488,2795990679;5026,6262070882;944,9333633956;n.a.;83,0635055834;861,8698578122;-88,9641783233;n.a.;n.a.;950,8340361355;2646,7181463082;n.a.;3939,8133519559;352,4701332349;n.a.;98;1,23059;D ;GB;30.04.;GB06201922
MI TECHNOLOGY INVESTMENTS LIMITED;EUR/GBP;2011;3038,6220119714;0;3015,812730182;22,8092817894;2645,0842861087;113,0713180348;1910,7825478291;621,2304202448;0,9593997942;5683,7062980801;2689,0451951366;100,8714736892;2588,1737214474;450,2644802831;450,2644802831;0;0;2544,3966226604;1089,9039444762;574,2220719173;880,270606267;5683,7062980801;7686,0857479897;n.a.;2964,2976685689;4164,1234995125;557,6645799083;-593,9144251697;85,948099554;-122,1979448154;-95,9433418024;n.a.;n.a.;-26,254603013;1463,2684963952;n.a.;3181,6409497504;346,4430763856;n.a.;84;1,12079;D ;GB;30.04.;GB06201922
BLACKTRACE HOLDINGS LIMITED;EUR/GBP;2013;491,7435002658;58,7668048716;432,9766953942;0;3739,3052066647;1521,8526596802;829,8455236676;1387,6070233169;388,1915217129;4231,0487069305;2208,3930328397;114,0232719619;2094,3697608779;339,430194757;305,9249224051;33,5052723519;33,5052723519;1683,2254793337;219,7239737773;941,5444957579;521,9570097985;4231,0487069305;9016,5181803444;n.a.;3238,0435431531;5188,1168026013;590,3578345899;0,2245469557;22,5526362665;568,0297452792;8,9675454448;n.a.;n.a.;559,0621998343;7029,4758923123;n.a.;3754,9052480945;92,8537493907;1109,5689217756;72;1,1944;+ ;GB;31.12.;GB04257809
BLACKTRACE HOLDINGS LIMITED;EUR/GBP;2012;190,9638342627;49,520304866;141,4435293967;0;3625,4819232859;1402,2731884197;1668,0694331439;555,1393017223;225,8570813214;3816,4457575486;1547,6647078264;110,8176038635;1436,8471039629;169,9298141763;80,9296092106;89,0002049656;89,0002049656;2098,851235546;115,1459212964;952,7584664399;1030,9468478097;3816,4457575486;8361,858389082;n.a.;3757,160127499;4073,8269590404;530,8713025426;n.a.;36,2698409701;494,6014615725;-85,2148707089;n.a.;n.a.;579,8163322814;7318,1956885653;n.a.;1216,2619826427;30,6594134824;971,0392987036;n.a.;1,196;+ ;GB;31.12.;GB04257809
BLACKTRACE HOLDINGS LIMITED;EUR/GBP;2011;149,4013677363;0,0011949146;149,4001728217;0;3589,9870944844;1289,9748394013;0;2300,0122550832;730,1716868388;3739,3884622207;848,4025122394;89,0163582702;759,3861539692;187,2478979593;157,8780919305;29,3698060288;29,3698060288;2703,738052022;761,3960003316;923,238818915;1019,1032327754;3739,3884622207;6080,5918135009;n.a.;2493,6899885216;3689,1279641865;-102,2261392071;n.a.;25,6799097345;-127,9060489417;-71,6709778921;n.a.;n.a.;-56,2350710496;n.a.;n.a.;575,9249403871;89,6723663873;n.a.;n.a.;1,19491;+ ;GB;31.12.;GB04257809
ADVFN PLC;EUR/GBP;2013;3676,9354891309;3035,3225849872;71,6820277523;569,9308763913;2857,88018842;0;730,9216600318;2126,9585283883;1716,8433204283;6534,8156775509;3938,98618075;7392,6497801605;-3453,6635994106;292,6036870545;0;292,6036870545;292,6036870545;2303,2258097464;0;1176,2903242633;1126,9354854831;6534,8156775509;9491,4055435315;n.a.;398,3640558694;10116,5668347484;-1023,5253470863;111,6359448602;n.a.;-911,8894022261;-284,3778805911;n.a.;n.a.;-633,3870976803;n.a.;n.a.;3772,1198210643;1150,4377896642;586,3824893181;37;1,17512;+ ;GB;30.06.;GB02374988
ADVFN PLC;EUR/GBP;2012;3911,2843499595;3678,292760038;102,8633083164;130,1282816051;4172,7802301374;0;961,7099669102;3211,0702632272;1784,6164334416;8084,0645800969;4620,1736554655;7794,0644096626;-3173,8907541972;603,5473632542;0;603,5473632542;603,5473632542;2860,3435613772;0;1551,6248435201;1308,7187178572;8084,0645800969;10515,6044706611;n.a.;395,342112686;11903,639474449;-1783,3771164739;n.a.;n.a.;-1783,3771164739;-202,0086657298;n.a.;n.a.;-2077,0952378112;n.a.;n.a.;4840,7720757103;1338,4623250812;734,914961827;60;1,23932;+ ;GB;30.06.;GB02374988
ADVFN PLC;EUR/GBP;2011;4990,8012545307;4741,5934688518;117,4045568088;131,8032288702;4013,9067346692;0;899,3632087614;3114,5435259078;1900,6247121116;9004,7079892;5668,6464315775;6921,3309009238;-1252,6844693463;591,4531446781;1,1075901586;590,3455545195;590,3455545195;2744,6084129443;5,5379507929;1529,5820089896;1209,4884531619;9004,7079892;10153,2789836403;n.a.;595,8835053124;10426,8537528079;-869,4582744799;7,75313111;5,5379507929;-867,2430941628;87,4996225273;n.a.;n.a.;-954,7427166901;4834,6310421719;n.a.;3809,0025553332;1254,8996496634;552,687489128;54;1,10759;+ ;GB;30.06.;GB02374988
UH VENTURES LIMITED;EUR/GBP;2013;66,1486823581;48,965753765;17,1829285932;0;2007,1980713072;23,2691977774;380,0308914181;1603,8979821117;162,5718836938;2073,3467536653;-182,9639989372;0,0023062786;-182,9663052158;18,6220464298;0;18,6220464298;0;2237,6887061727;1455,7507178241;58,1113014914;723,8266868571;2073,3467536653;9121,2499284611;n.a.;7439,0284193442;417,8988326348;1264,3226764821;-1218,4069761451;n.a.;45,9157003371;0,1429892722;n.a.;n.a.;45,7727110648;n.a.;n.a.;1305,1368885905;8,8607223213;n.a.;27;1,15314;D ;GB;31.07.;GB02350584
UH VENTURES LIMITED;EUR/GBP;2012;8,1418056322;0;8,1418056322;0;3994,2899063496;59,0804456061;492,6175491174;3442,5919116262;290,779684682;4002,4317119818;-253,2949443538;0,0025538914;-253,2974982451;13,9800012643;0;13,9800012643;0;4241,7466550713;3217,2224922677;157,5827581313;866,9414046723;4002,4317119818;10076,7026760015;n.a.;8829,9146257243;808,0959170706;438,6921332066;-525,4580380208;n.a.;-86,7659048142;n.a.;n.a.;n.a.;-86,7659048142;n.a.;n.a.;1425,9843909258;18,0164265471;n.a.;32;1,27695;D ;GB;31.07.;GB02350584
